Designator,Footprint,Quantity,Value,LCSC Part #
C2,1206,1,1uF,C1848
C3,1206,1,4.7uF,C51205
C4,1206,1,1uF,C1848
J1,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,1,Conn_01x04_Pin,C157925
J3,PinHeader_1x02_P2.54mm_Horizontal,1,Conn_01x02,C492410
KEY2,SW_PUSH_6mm_H9.5mm,1,TIMER,C455119
KEY3,SW_PUSH_6mm_H9.5mm,1,SW,C455119
KEY4,SW_PUSH_6mm_H9.5mm,1,MODE,C455119
KEY5,SW_PUSH_6mm_H9.5mm,1,SPEED,C455119
KEY6,SW_PUSH_6mm_H9.5mm,1,ON/OFF,C455119
LED1,LED_D3.0mm,1,Blue,C330760
LED10,LED_D3.0mm,1,Blue,C330760
LED2,LED_D3.0mm,1,Blue,C330760
LED3,LED_D3.0mm,1,Blue,C330760
LED4,LED_D3.0mm,1,Blue,C330760
LED5,LED_D3.0mm,1,Blue,C330760
LED6,LED_D3.0mm,1,Blue,C330760
LED7,LED_D3.0mm,1,Blue,C330760
LED8,LED_D3.0mm,1,Blue,C330760
LED9,LED_D3.0mm,1,Blue,C330760
R1,1206,1,10k,C17902
"R10, R11, R12, R3, R4, R5, R6, R7, R8, R9",1206,10,100,C17901
TP1,TestPoint_Pad_D2.0mm,1,3.3V,
TP2,TestPoint_Pad_D2.0mm,1,5V,
TP3,TestPoint_Pad_D2.0mm,1,GND,
U1,ESP32-S2-MINI-1U,1,ESP32-S3-Mini-1U,C2980299
U2,SOT-223-3_TabPin2,1,AP7361C-33E,C500795
U3,Vishay_MINICAST-3Pin,1,TSOP382xx,C141632
